nq,omega,b/d,b/r,,ln omega,ln b/r
10,0.19,0.038,0.1,,-1.67,-2.59
11,0.20,0.040,0.1,,-1.60,-2.52
12,0.22,0.043,0.1,,-1.52,-2.46
13,0.24,0.046,0.1,,-1.44,-2.39
14,0.26,0.048,0.1,,-1.36,-2.35
15,0.28,0.053,0.1,,-1.28,-2.25
16,0.29,0.057,0.1,,-1.23,-2.18
17,0.32,0.059,0.1,,-1.15,-2.14
18,0.35,0.063,0.1,,-1.06,-2.07
20,0.38,0.067,0.1,,-0.98,-2.00
20,0.38,0.067,0.1,,-0.98,-2.00
21,0.40,0.072,0.1,,-0.91,-1.94
23,0.43,0.075,0.2,,-0.84,-1.90
25,0.47,0.082,0.2,,-0.75,-1.81
27,0.51,0.085,0.2,,-0.67,-1.78
30,0.56,0.089,0.2,,-0.58,-1.72
32,0.61,0.098,0.2,,-0.50,-1.63
36,0.67,0.104,0.2,,-0.40,-1.57
39,0.74,0.110,0.2,,-0.31,-1.52
42,0.80,0.114,0.2,,-0.23,-1.47
45,0.86,0.125,0.2,,-0.15,-1.39
50,0.95,0.132,0.3,,-0.06,-1.33
54,1.02,0.137,0.3,,0.02,-1.29
59,1.11,0.150,0.3,,0.10,-1.21
64,1.21,0.158,0.3,,0.19,-1.15
68,1.29,0.162,0.3,,0.26,-1.13
75,1.42,0.178,0.4,,0.35,-1.03
82,1.55,0.190,0.4,,0.44,-0.97
89,1.68,0.196,0.4,,0.52,-0.94
101,1.90,0.209,0.4,,0.64,-0.87
112,2.11,0.221,0.4,,0.75,-0.82
124,2.35,0.228,0.5,,0.85,-0.78
141,2.66,0.241,0.5,,0.98,-0.73
158,2.98,0.257,0.5,,1.09,-0.67
173,3.26,0.265,0.5,,1.18,-0.63
191,3.61,0.277,0.6,,1.28,-0.59
212,4.01,0.292,0.6,,1.39,-0.54
238,4.51,0.312,0.6,,1.51,-0.47
264,4.98,0.326,0.7,,1.61,-0.43
296,5.60,0.336,0.7,,1.72,-0.40
323,6.10,0.340,0.7,,1.81,-0.39
350,6.61,0.348,0.7,,1.89,-0.36
